================================================================================
ОТЧЁТ ПО AUTOMATIONID В TRBOnet Server
Дата: 2026-07-08 01:34:35
================================================================================

  AutomationId: 'm_pnlParent' | Name: '' | Type: 'Pane'
  AutomationId: 'm_pnlMain' | Name: '' | Type: 'Pane'
  AutomationId: '3933742' | Name: '' | Type: 'Pane'
  AutomationId: 'm_pnlTree' | Name: 'm_pnlTree' | Type: 'Pane'
  AutomationId: 'm_tree' | Name: '' | Type: 'Tree'
  AutomationId: 'NonClientVerticalScrollBar' | Name: 'Vertical' | Type: 'ScrollBar'
  AutomationId: 'UpButton' | Name: 'Line up' | Type: 'Button'
  AutomationId: 'ScrollbarThumb' | Name: 'Position' | Type: 'Thumb'
  AutomationId: 'DownPageButton' | Name: 'Page down' | Type: 'Button'
  AutomationId: 'DownButton' | Name: 'Line down' | Type: 'Button'
  AutomationId: '1967686' | Name: '' | Type: 'Pane'
  AutomationId: 'm_pnlData' | Name: 'm_pnlData' | Type: 'Pane'
  AutomationId: 'ConfigControlDatabase' | Name: '' | Type: 'Pane'
  AutomationId: 'm_btnCreate' | Name: 'Create Database' | Type: 'Button'
  AutomationId: 'm_btnUpdate' | Name: 'Upgrade Database' | Type: 'Button'
  AutomationId: 'm_btnTest' | Name: 'Test Connection' | Type: 'Button'
  AutomationId: 'm_pnlLogin' | Name: '' | Type: 'Pane'
  AutomationId: 'm_boxPassword' | Name: 'PasswordTextEdit' | Type: 'Edit'
  AutomationId: '12715580' | Name: 'PasswordTextEdit' | Type: 'Edit'
  AutomationId: 'm_lblPassword' | Name: 'Password:' | Type: 'Text'
  AutomationId: 'm_boxLogin' | Name: 'sa' | Type: 'Edit'
  AutomationId: '3540296' | Name: 'sa' | Type: 'Edit'
  AutomationId: 'm_lblLogin' | Name: 'Username:' | Type: 'Text'
  AutomationId: 'm_boxAuthorization' | Name: 'SQL Server' | Type: 'ComboBox'
  AutomationId: 'm_lblAuthorization' | Name: 'Authentication:' | Type: 'Text'
  AutomationId: 'm_boxDatabase' | Name: 'TRBONET_6.5.0.9140_4' | Type: 'ComboBox'
  AutomationId: '590434' | Name: 'TRBONET_6.5.0.9140_4' | Type: 'Edit'
  AutomationId: 'm_lblDatabase' | Name: 'Database:' | Type: 'Text'
  AutomationId: 'm_boxServer' | Name: 'S0343\SQLEXPRESS' | Type: 'ComboBox'
  AutomationId: '329048' | Name: 'S0343\SQLEXPRESS' | Type: 'Edit'
  AutomationId: 'm_lblServer' | Name: 'SQL Server:' | Type: 'Text'
  AutomationId: 'ConfigControlWinService' | Name: '' | Type: 'Pane'
  AutomationId: 'm_pnlNotInstalled' | Name: '' | Type: 'Pane'
  AutomationId: 'm_pnlMain' | Name: '' | Type: 'Pane'
  AutomationId: 'm_lblLogonrType' | Name: 'Service logon type:' | Type: 'Text'
  AutomationId: 'm_chkLogonSystem' | Name: 'Logon as Local System (Recommended)' | Type: 'RadioButton'
  AutomationId: 'm_chkLogonUser' | Name: 'Logon as User' | Type: 'RadioButton'
  AutomationId: 'm_pnlUser' | Name: '' | Type: 'Pane'
  AutomationId: 'm_lblUser' | Name: 'User name:' | Type: 'Text'
  AutomationId: 'm_boxUser' | Name: 'VM-AutoTest\QA_Admin' | Type: 'Edit'
  AutomationId: 'm_boxPass' | Name: 'PasswordTextEdit' | Type: 'Edit'
  AutomationId: 'm_lblPass' | Name: 'Password:' | Type: 'Text'
  AutomationId: 'm_btnInstall' | Name: 'Install Service' | Type: 'Button'
  AutomationId: 'm_pnlDescription' | Name: '' | Type: 'Pane'
  AutomationId: 'm_lblUninstalledTitle' | Name: 'The TRBOnet Server service is not installed.  It is recommended to run TRBOnet Server as a Windows service: it will start automatically after a reboot and run even when no user is logged on. Click the Install Service button below to install the TRBOnet Server service.' | Type: 'Text'
  AutomationId: 'm_pnlInstalled' | Name: '' | Type: 'Pane'
  AutomationId: 'm_lnkApply' | Name: 'Save changes and restart service' | Type: 'Text'
  AutomationId: 'm_btnAction' | Name: 'Start service' | Type: 'Text'
  AutomationId: 'm_btnUninstall' | Name: 'Uninstall Service' | Type: 'Button'
  AutomationId: 'm_boxState' | Name: 'Unknown' | Type: 'Text'
  AutomationId: 'm_lblState' | Name: 'Status:' | Type: 'Text'
  AutomationId: 'm_lblInstallTitle' | Name: 'TRBOnet Server service is installed' | Type: 'Text'
  AutomationId: 'm_pnlParam' | Name: 'Save changes and restart service' | Type: 'Pane'
  AutomationId: 'm_pnlConfigPassword' | Name: '' | Type: 'Pane'
  AutomationId: 'm_lnkConfigPasswortSet' | Name: 'Set password' | Type: 'Text'
  AutomationId: 'm_lnkConfigPasswordClear' | Name: 'Turn off password' | Type: 'Text'
  AutomationId: 'm_boxConfigPassword' | Name: 'PasswordTextEdit' | Type: 'Edit'
